,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Oum Hadjer,TD,13.2954,19.6966,76.8,79,100,3.58,overcast clouds
308,Hit,IQ,33.6416,42.8251,104.45,12,0,18.63,clear sky
309,Te Anau,NZ,-45.4167,167.7167,43.99,91,78,1.72,broken clouds
310,Roma,US,43.2128,-75.4557,61.95,90,1,3.44,clear sky
311,Lumajang,ID,-8.1335,113.2248,83.57,56,5,7.63,clear sky
312,Myre,NO,69.1036,15.9492,62.42,94,46,15.84,scattered clouds
313,Sainte-Suzanne,RE,-20.9061,55.6089,69.85,88,90,25.32,light intensity drizzle
314,Bridgetown,BB,13.1,-59.6167,80.94,73,61,13.38,broken clouds
315,Vostok,RU,46.4856,135.8833,86.63,54,53,5.21,broken clouds
316,San Quintin,MX,30.4833,-115.95,68.95,87,1,8.34,clear sky
317,Wasilla,US,61.5814,-149.4394,59.43,86,90,0.0,light rain
318,Bud,US,39.447,-86.1758,71.58,97,0,3.09,clear sky
319,Novyy Urgal,RU,51.0736,132.5642,80.13,81,83,6.46,broken clouds
320,Baiyin,CN,36.5583,104.2081,81.46,23,67,7.36,broken clouds
321,Yerbogachen,RU,61.2767,108.0108,89.71,27,3,8.61,clear sky
322,Yuci,CN,37.6803,112.7319,83.95,48,0,11.18,clear sky
323,Port Moresby,PG,-9.4431,147.1797,77.56,90,100,13.11,overcast clouds
324,Flin Flon,CA,54.7682,-101.865,58.75,67,34,5.57,scattered clouds
325,Juneau,US,58.3019,-134.4197,58.21,91,90,6.91,overcast clouds
326,Isiro,CD,2.7739,27.616,75.69,77,65,2.86,light rain
327,Veraval,IN,20.9,70.3667,82.35,85,100,23.53,overcast clouds
328,Morshansk,RU,53.4435,41.8107,83.7,37,42,2.62,scattered clouds
329,La Ronge,CA,55.1001,-105.2842,54.46,78,3,5.68,clear sky
330,Karasburg,NA,-28.0167,18.75,57.11,34,0,3.04,clear sky
331,Baghdad,IQ,33.3406,44.4009,105.71,20,0,16.11,clear sky
332,Kyaukse,MM,21.6,96.1333,89.6,66,75,12.33,drizzle
333,Masvingo,ZW,-20.0637,30.8277,63.18,47,0,3.36,clear sky
334,Erie,US,42.7667,-78.6664,64.26,93,2,3.67,clear sky
335,Zemio,CF,5.0314,25.1361,73.42,82,97,1.36,overcast clouds
336,Camacha,PT,33.0833,-16.3333,65.62,88,75,13.8,light intensity drizzle
337,Ambilobe,MG,-13.2,49.05,87.48,33,0,1.52,clear sky
338,Gilgit,PK,35.9221,74.3087,97.7,32,38,6.26,scattered clouds
339,Pisco,PE,-13.7,-76.2167,59.02,82,3,2.3,clear sky
340,Ngunguru,NZ,-35.6167,174.5,53.17,88,35,6.35,scattered clouds
341,Abha,SA,18.2164,42.5053,73.65,64,71,8.05,broken clouds
342,Bubaque,GW,11.2833,-15.8333,79.57,82,100,6.22,light rain
343,Bathsheba,BB,13.2167,-59.5167,80.4,75,73,12.66,broken clouds
344,Aracruz,BR,-19.8203,-40.2733,70.81,96,4,4.88,clear sky
